"","SampleID","Treatment","MetaHybridLouvain","N","Freq","4G2","Axl","CCR4","CCR5","CCR6","CCR7","CD11b","CD11c","CD123","CD127","CD14","CD141","CD16","CD161","CD169","CD19","CD1c","CD20","CD209","CD24","CD25","CD27","CD3","CD38","CD4","CD40","CD45","CD45RA","CD56","CD57","CD66b","CD8","CD86","CX3CR1","CXCR3","CXCR5","DNA","E1D8","HLADR","Osmium","PD_1"
"1","1080_DENV_ctrl","Acute","basophil_12",286,0.00152024153767648,0.0646641582587662,0.0306934340587826,0.0256243763067072,0.239179807474598,0.0131594847483338,0.0562975959995524,0.0300865192530526,0.0112493088427349,0.841060312364548,0.0100288330769443,0.0182887274553865,0.0745912534919759,0.0254530310675024,0.0124757086992101,0.0193102303196657,0.0390952643872956,0.0151553127557534,0.0227235282187715,0.0135175683542255,0.0165992164220448,0.0198661592018352,0.0194950059013954,0.0344320189726446,0.325090224763292,0.544009906947175,0.0196453872984587,0.247721559599823,0.32895713895244,0.0416980454542254,0.0129039317328614,0.0212610009167317,0.0625000288581607,0.0207168103872098,0.00518240892348882,0.281845011304347,0.0118393083256262,0.863114109255636,0.10611078224872,0.455782713960713,0.80819327931777,0.0384623201671958
"2","1096_DENV_ctrl","Acute","basophil_12",1883,0.00555316350424376,0.119467854147724,0.0585781033096042,0.0556931095645106,0.363569129497504,0.0235061968293188,0.128258087808775,0.0374932699214309,0.0238847215588045,0.830156512467133,0.0142257952854456,0.0311071972915641,0.181995712386701,0.0264857347492761,0.0608552355379875,0.0287794665137289,0.0451149843369388,0.0196040514335601,0.0283649174050093,0.0519735720109494,0.0250072181771611,0.0718875366691617,0.0309062219621709,0.0834977456786293,0.591466246721892,0.604653969333331,0.0856730560114551,0.403364504203595,0.404218790106121,0.0673103051286563,0.0203259336941079,0.0249981360970614,0.0855205955383206,0.0475670823501564,0.0183620094728054,0.53347542681677,0.0214612200406955,0.853573169586479,0.163856077239173,0.451684916725133,0.8308799787477,0.0535548305481486
"3","1304","Acute","basophil_12",205,0.000954505030939931,0.0407720802329669,0.0788877600590874,0.0684165712670601,0.338031014202167,0.0214698128524964,0.0800183805751723,0.029246818964353,0.020121515147729,0.778157711279023,0.008482549885519,0.0392076425698544,0.153347038729301,0.0250517115291943,0.0365155997765199,0.0366184588485808,0.0461826300735829,0.0152148797918409,0.0237484568477552,0.0423084568191913,0.0205125889624964,0.0414636368619392,0.0357421645409631,0.0535916563528008,0.489919604021986,0.356849340985686,0.0437395445528223,0.458385083409411,0.206328312887685,0.041294078302505,0.0114320309333754,0.0178211708926063,0.0523651756669953,0.0384898727023819,0.0100079582631985,0.441716262895814,0.0130554811042656,0.88935347701276,0.0391676501603626,0.577162909769301,0.880513891160438,0.033222134755367
"4","1304","Conv","basophil_12",182,0.000660653030110532,0.0901808092768149,0.145650799343477,0.0859321971358897,0.208165122867455,0.0261808006814483,0.15818858387618,0.0283307363686791,0.0408398380134366,0.857261869682791,0.00766685837665573,0.0500931122609052,0.170127309868821,0.0386460409504842,0.103761555172347,0.0711575554202568,0.0539248025397942,0.0198347416757385,0.0226166526098449,0.0738139580825357,0.0157543660585783,0.144379708395171,0.0294856118568242,0.140927191441928,0.693678573826592,0.542991877974327,0.134439309889341,0.253207783990007,0.348201019280693,0.0956027015703709,0.0160099290949582,0.0199717782646254,0.0826780276872079,0.0893457100339475,0.0340303105524101,0.513139260343035,0.0217597859177793,0.89737877824908,0.0693097070416901,0.628976240577052,0.911253292282827,0.0492089112063043
"5","1345_OFI_ctrl","Acute","basophil_12",491,0.00352953016274656,0.0824074774870783,0.0336952857731127,0.0337694491202546,0.241633423594813,0.0228839322868187,0.113223767215633,0.0241821394806914,0.0164297570140441,0.809126850617973,0.0112430052817956,0.0229986792977553,0.118166172545424,0.0291287431833649,0.0392251272381685,0.0136877824478357,0.0418826029681594,0.0251227955150111,0.0235772576539124,0.0279796668518703,0.0175904034767257,0.0636864742582344,0.0231096109032111,0.0714168860109722,0.544622946015312,0.576298447115916,0.058828011148128,0.247386724431395,0.355271384399773,0.0573152653510257,0.0155396932791219,0.022703785140687,0.0690537588508953,0.0486855597632,0.0165506007160417,0.285235256885171,0.0113071390323313,0.888005303182314,0.134517015670006,0.462836206882219,0.84917254127939,0.0636678571097596
"6","1346_OFI_ctrl","Acute","basophil_12",201,0.000809873200449661,0.0442824014086196,0.0543034041379035,0.0196577646203443,0.337646736260419,0.0163067631879335,0.0682328721640301,0.0256843402937703,0.0313829196379925,0.848007766039038,0.0115750982650208,0.0238821665640902,0.0626321716884792,0.0264458269163649,0.0151115721979968,0.0415360699303084,0.039751887410502,0.0157511893577152,0.0217759647301985,0.0377379783278271,0.0190291474536513,0.0191824819980057,0.0246313141720367,0.0410679062781013,0.352524615846693,0.515220680257425,0.0212579460717178,0.286309487139199,0.302531508459408,0.0498403311153237,0.0128316336424655,0.0178406340572737,0.0546918782649279,0.0472463669189363,0.00435648576482454,0.353616156448001,0.0112542806671143,0.875238255698336,0.0779204930475013,0.448150551487602,0.844218817112986,0.0477943273469747
"7","1369","Acute","basophil_12",382,0.000638550390318105,0.0720297228879875,0.080701490166913,0.065464009200348,0.0982482051168276,0.0176826025890808,0.0769110577324614,0.0234437538934262,0.0170216091637386,0.839782521535732,0.00860487000055798,0.0393046119556062,0.101537744001654,0.0298689860171653,0.0346961556301131,0.0284206529436594,0.0403244615966064,0.0160084264748295,0.0210562455005966,0.0311302655421521,0.0177262475061351,0.0585858858133062,0.0280818153330177,0.0650751982392773,0.52888245184557,0.337185991539199,0.041637326532723,0.526374825433145,0.252938526295628,0.049321261426603,0.010577619534241,0.0174727122413598,0.0456442704777008,0.0402293319369773,0.010930201590845,0.391840230632866,0.00979507460263218,0.873641983334655,0.0614574740666339,0.58674590665537,0.859567213566329,0.0392164487507659
"8","1369","Conv","basophil_12",417,0.00114175880139968,0.117505996717241,0.1271152301535,0.0830195376062528,0.129427630684429,0.0249085929919912,0.118782597033827,0.0309881543283094,0.0222652958659087,0.860463094227289,0.0088769589339609,0.0395488904327346,0.0896384315679594,0.0289057653175146,0.0605124280970466,0.0420368062825157,0.0435642729336266,0.0155825331314559,0.0215230077651845,0.0520223995411888,0.0215563871638759,0.099647753397123,0.0297578327976397,0.0945393410883719,0.615347558266793,0.402435119641812,0.0662881816024928,0.226542770017417,0.326543406769804,0.0585900179954017,0.00709424679657014,0.0240854257999831,0.0541209168278084,0.0758460198486814,0.0218263489816898,0.398834462069322,0.020530600317375,0.882333401445761,0.0707765043117208,0.629801062046678,0.874394577312577,0.0583902635904511
"9","1659","Acute","basophil_12",253,0.0008691649145951,0.071892673277484,0.0637879714502903,0.0655862466276492,0.171339815537996,0.0103310569722279,0.0803960440271763,0.0238668727297842,0.0283422726536815,0.838807568445675,0.00671586670561657,0.033391057869625,0.210647886335799,0.0265467941986418,0.0301273843333278,0.0360781107780719,0.0252407043796119,0.0150934970874361,0.0165629873600198,0.031001231452701,0.020253782883056,0.0468208759169194,0.0301335508368927,0.0610883759989444,0.48214946831474,0.417453412349888,0.0282476259693002,0.476494280177821,0.225013331787378,0.046732217103342,0.0197144365540385,0.0208738535607342,0.057197857815507,0.0372400528056123,0.00882889127578927,0.259292545088936,0.00979447438997248,0.889493691655968,0.0467641207986292,0.563638460184303,0.894114920876767,0.0442886147430068
"10","1659","Conv","basophil_12",297,0.00293043907252097,0.0581880194082974,0.0763421636317676,0.0690218410358876,0.243849689111984,0.0176341408132039,0.127101932965473,0.027703750609144,0.0277042100733789,0.834192407893517,0.00973198012274458,0.0342479251506514,0.12516806781182,0.0257210527471329,0.0551955070990736,0.0367968060146388,0.0337861236314883,0.012805596204099,0.016986318359023,0.0614635608016839,0.0183063710304929,0.0663533068877121,0.0359030849709706,0.0750907199856507,0.580839456337918,0.4532692882933,0.0969917959120051,0.146040304523202,0.231026258141854,0.0568191705723877,0.0200487077851124,0.0218173378128205,0.0501625457123751,0.0454420124601776,0.0238455806291153,0.399539855263002,0.0150222744421859,0.912800555505135,0.0520427068833441,0.585117334511272,0.933273190920092,0.0494987174617626
"11","1765_OFI_ctrl","Acute","basophil_12",129,0.00098583907132431,0.092854944396699,0.0392450557387992,0.0365468043654821,0.41910402413637,0.0136840163998147,0.0830218802894225,0.0596889376547059,0.0315659296887375,0.853807469492498,0.00781512774116565,0.0503450018766027,0.243434673993378,0.0180386517639543,0.0257449240554029,0.0274296165350716,0.0564757406953222,0.0181204808304874,0.0333027111526366,0.0328271241994374,0.0223232815449766,0.0409037192379782,0.0298251810580542,0.0497634740334931,0.486786885313451,0.549237185528367,0.0774087937345282,0.304812950800567,0.410801755011029,0.0616622813833037,0.0168171120092036,0.0207380222335594,0.0743367430554071,0.0494353333348759,0.0101364488900902,0.363172788959756,0.0201134501053615,0.847198668440891,0.115561214399414,0.497498061826047,0.793244184967388,0.0577340053070918
"12","1779_OFI_ctrl","Acute","basophil_12",63,0.000339509166747502,0.0752627400452682,0.109926393145387,0.0504815045320112,0.322272529310156,0.0222394309569873,0.0788721589015825,0.0494385568044393,0.0422184762689042,0.807588421614856,0.0156370530067713,0.0473165415010453,0.181653413997441,0.0314850642261897,0.0250603284859443,0.0541248091946683,0.0524970453027821,0.020030083306398,0.0365811046235092,0.0373746601342047,0.0202134990888641,0.0296257140586214,0.026865239296275,0.0324195500463136,0.372506498955948,0.50653584694244,0.0351826469461759,0.218899753062495,0.279328872045771,0.0607284096635359,0.0163663390140954,0.0190980989710462,0.0721728467503529,0.0392640527832578,0.0193673888164432,0.341385932705871,0.0122985439084139,0.859285304278656,0.115517076412398,0.516994533480019,0.810069366766322,0.0335650095633194
