"","SampleID","Treatment","MetaHybridLouvain","N","Freq","4G2","Axl","CCR4","CCR5","CCR6","CCR7","CD11b","CD11c","CD123","CD127","CD14","CD141","CD16","CD161","CD169","CD19","CD1c","CD20","CD209","CD24","CD25","CD27","CD3","CD38","CD4","CD40","CD45","CD45RA","CD56","CD57","CD66b","CD8","CD86","CX3CR1","CXCR3","CXCR5","DNA","E1D8","HLADR","Osmium","PD_1"
"1","1080_DENV_ctrl","Acute","nk_cell_16",426,0.00226441571695867,0.0107874303806025,0.00413709603886067,0.00738244816634122,0.0125169013966825,0.0108281129751366,0.0225618271351188,0.130876205334725,0.343157068239105,0.00923174784033321,0.0135218311626257,0.00972686061938477,0.0179389586202797,0.393563816467701,0.0959764991028516,0.0283062656003485,0.0374060297567263,0.0134962692788845,0.0156735554528876,0.00942268527036348,0.0143683704283595,0.0124244307948017,0.0237039785713438,0.0340780163184466,0.372279602885522,0.0268250159706696,0.0466861579607254,0.25671351335425,0.321693252612572,0.256790751421895,0.684900002045827,0.02411671735616,0.127537801300217,0.0198664105116467,0.0485173208454157,0.00773567825943979,0.0117869363244019,0.859133454912329,0.0457849388533072,0.0327504461683537,0.776187060272074,0.00733536770294752
"2","1345_OFI_ctrl","Acute","nk_cell_16",867,0.00623238829144862,0.0189199181257568,0.00462043540980266,0.013111031825851,0.0349379397873006,0.0147823792039082,0.0290635443866899,0.0732240014663028,0.423312441161542,0.00951749764253687,0.0160614154893035,0.0152665717921849,0.0273737926076888,0.399241640446209,0.0794573580547642,0.0154486607221527,0.0343185266266564,0.0193408395201307,0.0219567321947633,0.0152218792607917,0.0156709062228305,0.0262710738353705,0.0276541085530391,0.0503947575059551,0.454945837726583,0.0262266646390665,0.0590195213745929,0.242886127573805,0.405336750903782,0.174334759642149,0.709115602964213,0.0267292817433919,0.103664625394283,0.0230768529266806,0.0512799147869904,0.00699348857481356,0.0128435724160679,0.846606308415454,0.0416106117673808,0.040615125651513,0.746755725065749,0.0179749326638059
"3","1346_OFI_ctrl","Acute","nk_cell_16",2092,0.00842912803652085,0.0118655911973398,0.00543244749679427,0.0084013795161898,0.00877230851105997,0.0123718081984877,0.0227998535435626,0.0889665553698685,0.390253117968211,0.0123706536286719,0.0126414257059412,0.0162467543053971,0.0289503232089747,0.535989235425817,0.14157176626687,0.0288867314114637,0.0370623334747161,0.0187540088775252,0.0190036336392722,0.0208214406248712,0.0204977587388385,0.0131203594549588,0.0247947897409658,0.0302987634267,0.325782843994543,0.0275405256229594,0.069688828928387,0.302090374038207,0.394891918232337,0.193291252173122,0.64093368129322,0.0261009937321412,0.134775805970948,0.0256422469071381,0.0788667762674199,0.00924108909857516,0.0104194491396062,0.85471966921271,0.0486438643857686,0.0277044000396888,0.76969506285841,0.00714105101631159
"4","1857_CHIK_ctrl","Conv","nk_cell_16",3517,0.00889656759949509,0.0141751202767441,0.0042564258550834,0.00879360445583567,0.0102917583302023,0.0109727610770288,0.0209812568152829,0.110672682390307,0.425789717666287,0.0129418253714623,0.0158783923276447,0.0157497781091643,0.0316469730549782,0.56481476792771,0.065607069332825,0.0300414513746481,0.037230994677184,0.022867358130389,0.0187841779941367,0.00852437298681849,0.0195371682724316,0.0098762968620881,0.0236605089181003,0.0302781347611576,0.265859336063873,0.0263953335626023,0.0841014973438627,0.352653456500394,0.398864594978202,0.245404676411608,0.707379103647025,0.029559175056265,0.110614765313131,0.024880707161601,0.0691003036471407,0.0127738339884261,0.0118760288953396,0.858254768280268,0.0353759089169974,0.0330725468624323,0.775781303561713,0.00828578604173341
"5","1862_CHIK_ctrl","Conv","nk_cell_16",7265,0.0150040065757408,0.0169263445904663,0.00476509724521276,0.0102514740220447,0.0327159440604477,0.0169299581310669,0.0207144883004249,0.10923653581675,0.409608672312214,0.0116062811709831,0.0127363674057442,0.0202712478350659,0.0278336561691508,0.532374640536603,0.0853858376614069,0.0353912817054272,0.0358711828365444,0.0174762636932472,0.0202587470019653,0.0135027170835302,0.0218284863381846,0.0088678328437688,0.0245487935299142,0.0337020408637551,0.249077266643842,0.026780929387029,0.067597812922672,0.492923416914842,0.415039809240308,0.339289410883872,0.734660644848759,0.0401480465546543,0.0615719260741847,0.0296736577580088,0.0810129730503946,0.0229332588139412,0.0142154001338812,0.849610844540621,0.0302203078726963,0.047076189318034,0.76283702858831,0.00693049170954244
"6","1878_CHIK_ctrl","Conv","nk_cell_16",1357,0.00550933989419794,0.0115099698348067,0.00481090856727888,0.00811997797239672,0.00690630464648078,0.013720804780445,0.0207838681154387,0.107045754514923,0.388008024782693,0.0185358069526017,0.0135662048512376,0.0159443354220912,0.0329638663998495,0.608959181686065,0.0987985367867074,0.0308544528904188,0.0421922509108386,0.0219565765725347,0.0188509057989215,0.0144781751144334,0.0171947620025442,0.011378103237601,0.0217651529558175,0.0281285924880987,0.325452441511401,0.0275968146243036,0.080582478209802,0.201616584013636,0.391768239355458,0.178046295035415,0.665104731402499,0.0276125116538247,0.198244417153522,0.0240070653111644,0.0708057113181485,0.00769536545447997,0.0101133791737295,0.852964706525836,0.0372338072095805,0.020101690941242,0.769354505180444,0.00926878546971725
"7","1879_CHIK_ctrl","Conv","nk_cell_16",2098,0.00511227262205003,0.0153039868376817,0.00409467795721808,0.0135094239086458,0.0139541639071262,0.0104909591104245,0.0216540029993033,0.108052550841151,0.470909182490567,0.00791548576948753,0.0136183402666259,0.0189303287582701,0.0474886732219975,0.547740854748557,0.0515392658983394,0.0405500019170585,0.0448636519730493,0.0233271637872678,0.0214885905138644,0.00909891971990355,0.034361167223846,0.00796602843483275,0.0232812965322412,0.0403775715019533,0.205178388349881,0.0330510403765319,0.0870420858142553,0.342520568801526,0.472006274314418,0.14601069968847,0.735659337915474,0.0174196606809843,0.144234578090836,0.0215300057218318,0.0540812014661403,0.0115253300971377,0.0108152602790629,0.850705895384002,0.0465953253680102,0.034688518180859,0.751988072034154,0.0180074287689837
"8","5406","Acute","nk_cell_16",73,0.000601100095517275,0.0132812888098565,0.00913401807781766,0.0105233644006817,0.0182623434043878,0.0206989409222699,0.0603146969389397,0.0417060745119077,0.262517790354107,0.0177138990278186,0.00896076942761583,0.0313059214607899,0.02140788982051,0.5470727421993,0.0451560184548271,0.0280956112520601,0.0412613149945029,0.0200228323227324,0.0121305719844525,0.0129044077239228,0.0138591803458679,0.0134914058512842,0.0473673744367686,0.0531701563421952,0.412751248132472,0.0375083215578497,0.0663657075060278,0.16435681958691,0.196903279039306,0.346638978285085,0.508248053787554,0.0170076604820998,0.073631102548575,0.0181457978866917,0.0725794443071212,0.0180674483358131,0.0157194724903786,0.857300768729423,0.0152351301268568,0.0291228274770148,0.780771945288695,0.00213581231525487
"9","5406","Conv","nk_cell_16",60,0.00124729752203559,0.0171596124575044,0.0139692332919607,0.0235578834684392,0.0329405431911784,0.0106840989902015,0.0555449106662752,0.0401827995273734,0.210671190619938,0.0143924194728708,0.0179921178071883,0.0518532601207859,0.025533547151407,0.554545481520071,0.0579551351219181,0.0223073583816628,0.0368611397896641,0.0138016613467328,0.0286962015310009,0.0120208139812517,0.00911536760669726,0.0316866741337281,0.0564098960072921,0.0447941939800269,0.520991974965912,0.0284054492599014,0.0789358740138192,0.100015872948823,0.235221095223187,0.33531456401407,0.473901128313569,0.0185637357428896,0.0653566477374846,0.0194418630823456,0.133944275093712,0.0224744264790986,0.0124773350320329,0.852582063370197,0.0132518263593746,0.0324575215160901,0.781799558925612,0.00408526365308248
"10","7119","Conv","nk_cell_16",595,0.0028131589647575,0.0291595720768544,0.00612510651710472,0.0193022377984502,0.0229749610378118,0.0204310637693399,0.0272184440207376,0.0968109977343683,0.669262113993917,0.00830585847165347,0.0159007252008503,0.0185035615945826,0.0388042972150918,0.427426017230504,0.0237053168373163,0.0177784712878745,0.0423985974205479,0.0128392410753712,0.0169422526491095,0.00753319140989639,0.0452416716445556,0.0147547557046308,0.0250639047527429,0.0438079551767606,0.350217883131997,0.0308857324115415,0.050479962449124,0.268238366712084,0.577478551496543,0.20086872796009,0.829284026371487,0.0209131647561383,0.069163060771839,0.0300468012906304,0.0562432886353495,0.0193146016199706,0.0156422157944779,0.838607154269572,0.0728822008804157,0.0415729202376936,0.747946076326071,0.00657149316185977
