,4G2,Axl,CCR4,CCR5,CCR6,CCR7,CD11b,CD11c,CD123,CD127,CD14,CD141,CD16,CD161,CD169,CD19,CD1c,CD20,CD209,CD24,CD25,CD27,CD3,CD38,CD4,CD40,CD45,CD45RA,CD56,CD57,CD66b,CD8,CD86,CX3CR1,CXCR3,CXCR5,DNA,E1D8,HLADR,Osmium,PD_1
"('b_cell_memory_1', 'b_cell_6')",0.167686690847,0.102856282999,0.0758672586768,0.0370843621851,0.581238278004,0.229558874455,0.20958483116,0.0436347120684,0.080344687784,0.171389162917,0.132480017085,0.120388521035,0.351750577598,0.0226908539291,0.070656345126,0.681685972237,0.298420512386,0.741627426043,0.0454455349244,0.501110487365,0.110668097037,0.105535663599,0.10115943041,0.124238669412,0.0897384819408,0.715067844939,0.421944980401,0.62823917178,0.183778784679,0.0183773811023,0.228535099354,0.108244254551,0.105529397089,0.0151384350309,0.142623070115,0.618661084871,0.849194940078,0.0304645605079,0.677708192807,0.793985627744,0.0207164735051
"('b_cell_naive_2', 'b_cell_7')",0.198377059108,0.0997549397794,0.0753402188355,0.0371844487558,0.552809053294,0.0835201614051,0.264277758742,0.315484713256,0.083322006247,0.244551099073,0.110019624424,0.138733159734,0.440168579484,0.0237843490855,0.0424649279325,0.743424903632,0.252181531624,0.819167057569,0.0521666261205,0.122871048655,0.041175590462,0.131527524658,0.1001571715,0.143069453494,0.0985107903653,0.570531598208,0.417929556233,0.563716175252,0.151078889013,0.0381169602307,0.276350935093,0.126769237791,0.176273108381,0.0149246343915,0.207691018306,0.386329911297,0.856164090141,0.0405798572382,0.696896922069,0.82092815695,0.0795941616819
"('undefined_4', 'b_cell_8')",0.154762740615,0.111311181709,0.149604008936,0.14872521228,0.552958419289,0.549174300801,0.246981472477,0.0978969270799,0.125300192495,0.360564750876,0.158144948526,0.133773983445,0.301719872515,0.127845448203,0.155139043517,0.634186221397,0.250807032003,0.672984614408,0.0875621183455,0.365553609652,0.192302789576,0.511248568527,0.606651455198,0.481453064023,0.435123431957,0.674389396574,0.590445413495,0.598271846043,0.214976831525,0.106585041638,0.179783679409,0.355812007077,0.123382585007,0.115464344662,0.204128462941,0.646476981803,0.917848151557,0.0733310498936,0.661601535436,0.824888187641,0.0749031392428
"('undefined_11', 'b_cell_9')",0.287263002866,0.136769544888,0.164973204867,0.253099296488,0.405388039855,0.295749013521,0.674613085534,0.582802586668,0.23002182001,0.158644090681,0.691691721499,0.258252704151,0.334721557196,0.0740254375687,0.381913872594,0.600496178502,0.25751379398,0.592274357355,0.110206226498,0.299454505997,0.115756811794,0.210095381074,0.227900545401,0.543377186835,0.51115602329,0.581191184239,0.673406944327,0.576485023608,0.186139220391,0.0957285846733,0.16376393254,0.286078207634,0.561222374121,0.221569663383,0.122312473441,0.506835960817,0.923484739253,0.231819608647,0.677824241067,0.892886643913,0.0475970016967
"('cd4_cd8_t_cell_1', 'basophil_1')",0.0214301315679,0.0179015313196,0.590987185162,0.0393876006185,0.0234629008397,0.196038310514,0.0341059645185,0.0113646647362,0.029294568999,0.418891308155,0.0339044444273,0.0344381207132,0.0575902905184,0.0605636634106,0.227719995565,0.0371759631865,0.02755475005,0.0385756935537,0.00877541946791,0.00781041965608,0.271711537615,0.219878204728,0.613493893314,0.0510338283287,0.0778753987671,0.0238748788586,0.323493498518,0.0639865632964,0.0253948962174,0.0159214659519,0.012756053047,0.711933953433,0.0179687412277,0.0294525247659,0.0550274532026,0.0156461458015,0.857432122058,0.0224143988353,0.0481048596968,0.811127915614,0.0304999798114
"('nkt_cell_3', 'basophil_10')",0.0142169271053,0.00705600823665,0.0199952757109,0.0451511422547,0.0177983600676,0.0464545475973,0.0618183999403,0.369077863958,0.0305693699654,0.0195738124822,0.0184419284128,0.0310323928475,0.0458155510083,0.0195988839022,0.146099162673,0.0403705831195,0.0170349547716,0.024501372191,0.0065557868872,0.0174533013568,0.0246043690177,0.036293849322,0.444763431308,0.131288747288,0.0337958161841,0.0275852544555,0.233197858492,0.24609254729,0.0338429706668,0.682972291967,0.00879630580588,0.628661568417,0.0231631736932,0.0663536333337,0.0342674586798,0.0150105938693,0.839835577037,0.05334785449,0.0192053890415,0.724770467056,0.0184458017356
"('b_cell_naive_4', 'basophil_11')",0.0383048447283,0.0197543838348,0.0727242668216,0.04295159542,0.217243524245,0.147194226232,0.203173440428,0.0190873575507,0.167540816435,0.0271696974451,0.0353492499836,0.0274752521659,0.0849369492004,0.0157432987978,0.0243818055379,0.321994473975,0.110497649434,0.467863053695,0.0130756445937,0.178013742772,0.0430444591414,0.0303955097724,0.0628878116856,0.223460230513,0.0278517627556,0.306672664587,0.157484298737,0.294238156102,0.0381597162867,0.0146437040087,0.0174532483956,0.0414706359634,0.0322647274257,0.0142117237404,0.069254318651,0.314494062492,0.83487086653,0.0400434586745,0.298545375487,0.706405720235,0.00675728281834
"('pdc_2', 'basophil_12')",0.0733033883234,0.0792425476775,0.0550020409793,0.368789196325,0.021286530363,0.113071530757,0.0302734378628,0.0276319219436,0.81492619887,0.0167906016452,0.0517737616056,0.162655636009,0.047470067282,0.0384217693581,0.0406231221556,0.0533303441962,0.0242686250243,0.0368648960276,0.0405634208376,0.0198697439193,0.0632390203106,0.0353756223088,0.0820869028517,0.491216358504,0.504163225774,0.0513246185031,0.280671328734,0.279815611214,0.0749551766621,0.0147840201999,0.0222439724077,0.095061478846,0.0578742605753,0.015653840925,0.369652768706,0.0206596203575,0.876370943216,0.0697716078365,0.519539613426,0.857156265266,0.0461437150423
"('cd4_neg_cd8_neg_t_cell_3', 'basophil_13')",0.0213250994918,0.0128066352806,0.0389374672042,0.197137295771,0.0527693034428,0.151343637508,0.0773647335796,0.0570422224369,0.0284044210895,0.153751217123,0.0256057963985,0.0102213657239,0.0386060969488,0.236181152338,0.0196834525747,0.0265741277374,0.0113384689107,0.026000438638,0.0338645484302,0.0153467007183,0.078889518319,0.147641682823,0.604016259515,0.126709538131,0.0326056339212,0.031596730409,0.242604988614,0.100621267314,0.0465856822861,0.12018793337,0.00461207465759,0.0980947315994,0.0198560993066,0.122809826213,0.12192604399,0.0218902156907,0.842025847208,0.0347630362991,0.0275081279608,0.739034592496,0.0131198853217
"('undefined_7', 'basophil_14')",0.0233570247536,0.0146638200715,0.0416424113547,0.0465724892436,0.0264656389129,0.0841052150056,0.138655829263,0.120568067122,0.0775886277347,0.0231034100616,0.032715362636,0.0135053930327,0.064620920208,0.263225707931,0.0294752565594,0.0472638325841,0.0113676301737,0.0313205164082,0.0449395839863,0.0173196053632,0.0979669773879,0.0441083444124,0.161142461816,0.533817491349,0.0328604641179,0.0415928381498,0.257489906483,0.149265301183,0.161810096648,0.0788733778327,0.00596441403314,0.0947028987061,0.0370851822206,0.218194344057,0.0528377050163,0.0213618418728,0.843174572049,0.0347690426765,0.074836938967,0.769056057662,0.00460612552707
