	CCR4	CCR5	CCR6	CCR7	CD11b	CD11c	CD123	CD127	CD14	CD141	CD16	CD161	CD19	CD1c	CD20	CD209	CD25	CD27	CD3	CD38	CD4	CD40	CD45RA	CD54	CD56	CD57	CD66b	CD8	CD80	CD86	CHIKV	CX3CR1	CXCR3	CXCR5	DNA	HLADR	PD1
b_cell_memory_1	-0.288270822147	-0.496793774905	1.88234097415	-0.156051689559	0.0375548148981	-0.409225822054	-0.525482707759	-0.247831693807	-0.393285516477	0.168982716372	0.302491939338	-0.789068585944	2.08281177351	2.23669161161	2.08626868459	-0.7425076487	-0.0144899849291	0.331827097044	-1.02219533289	-1.17220605169	-0.746319217727	1.72913839685	1.46615394972	0.161965446352	-0.633557786967	-0.557986947496	0.246815152608	-0.656524683898	0.293997875632	-0.0871829409796	1.14169557404	-1.22594508689	-0.363310889408	1.87536466945	-0.52158314229	1.09468738041	-0.723287088825
b_cell_naive_1	2.36463662732	-0.564663597271	1.42567169852	0.382867750809	-0.12665295644	-0.744317007282	-0.455174974326	-0.590341777492	-0.30678482715	-0.165582500399	-0.146973020725	-0.790099645381	1.20851555569	0.601597144558	1.43239678874	-0.346268922083	-0.721953140737	-0.740917992569	-0.965665941873	-0.431939179151	-0.812939413495	1.56139513807	0.274372093192	-0.759850906004	-0.339119120916	-0.745880212199	0.0781188987827	-0.87358743955	1.57718670101	-0.287005970297	0.511842882475	-0.664020652641	0.869765294307	1.43631365863	-0.807172726146	0.685384313005	-0.846060468465
b_cell_naive_2	0.0506786258232	0.010100507549	2.35780994392	-0.759788623918	0.345448625842	0.63191327055	-0.254072771666	0.432364410241	-0.201838520671	0.835123268694	0.940226300107	-0.610462678317	2.53198432676	3.17337905542	2.54481654338	0.397206805398	-0.351499129888	0.208237713371	-0.970605902837	-1.08787041381	-0.547540450373	1.71439337618	1.80841514373	0.458303963414	-0.441203794517	-0.340243634292	1.03794971891	-0.243108578375	1.42361481165	0.530419250342	1.79857480587	-0.908290810381	1.7777058434	1.2678011598	-0.00619849870679	1.34619046334	-0.025191681259
b_cell_naive_3	-0.148866916613	-0.369042012668	1.85411940512	-1.00179464641	0.109565212219	1.01057062484	-0.531659871786	0.263322757496	-0.433150969015	0.205305619836	0.812063873228	-0.894759991866	2.48216220951	0.884503166836	2.48147006297	-0.571986766285	-1.06701502952	-0.677925590012	-1.03433063139	-1.81182667945	-0.679502991059	1.10947285111	1.02845624916	0.147609119843	-0.694711900276	-0.568144921537	0.763527313048	-0.487345246066	0.244920746107	0.350096704707	1.53449323336	-1.13318157855	-0.136244853184	0.0839155764309	-0.645814128354	1.15435982351	0.812524544553
b_cell_naive_4	-0.39242420256	-0.884161815743	2.02788540635	0.82407596103	0.0123291865276	-0.916070267578	-0.259573504872	-0.449559774942	-0.521472243388	-0.175131485803	0.0709892668656	-0.889893842323	1.98748467368	1.07048364141	1.93617200887	-0.798180192934	-0.69981052835	-0.924168301677	-1.07633645711	-0.462594420805	-0.836599506961	1.76461908818	1.04185260865	-0.278177705991	-0.72187737796	-0.623890927445	0.012859933655	-0.841873779279	-0.510055342958	-0.366634472601	1.12174487049	-1.22895555345	-0.943999197797	2.49625957586	-1.16377106286	1.17666823299	-0.929462579397
b_cell_plasmablast_1	0.222878671339	-0.845448697416	0.0147788449162	0.518495588457	-0.48025447303	-0.865827329648	-0.333777906882	-0.851025033198	-0.471705112342	-0.350295049196	-0.525685179756	-0.158450478237	1.28331509739	-0.152677254258	0.355156022223	0.0685423231764	0.888837917994	0.774602825964	-0.336406597896	1.37870548939	-0.810431416155	0.868843746617	0.771837883184	-0.128080843559	-0.575728992603	-0.737374477795	-0.411943779653	-0.848606578144	0.29211983574	1.08043069697	0.114983661923	1.03619933572	0.27341077231	0.0438068411484	0.391198060014	0.644342924435	-0.850102788522
b_cell_transitional_1	-0.308656911969	-0.699772318654	1.53539057057	-0.0123761452183	-0.102100624743	-0.952733549449	-0.0401438799047	-0.159351617643	-0.530718165925	-0.0448455417812	0.419342252215	-0.741468199755	1.92491863735	0.832170965705	2.19382448416	-0.651426164703	-0.226780358227	-0.965566249973	-0.859753345712	0.923145363379	-0.821616948709	1.70292958721	1.16747396083	-0.381872530212	-0.74141119515	-0.643256163624	0.297417519626	-0.778684091629	-0.429271243491	-0.146251566222	0.729196440452	-0.680161603122	-1.02409804811	1.88056508532	-1.30018141158	1.07174573341	-0.886089581055
b_cell_transitional_2	-0.299904456197	-0.699482257474	1.60911434141	0.0227340213287	-0.087260842959	-0.954146790003	-0.0432647874805	-0.158962853725	-0.528087948219	-0.0420901546515	0.421316020502	-0.743134109865	1.93406888805	0.897822093278	2.19268039179	-0.642432511484	-0.24589122027	-0.964621491587	-0.868206366642	0.894647260925	-0.819482399143	1.74292225892	1.17531550289	-0.378135656287	-0.734948802206	-0.642318357591	0.301695858866	-0.777625785732	-0.415463815514	-0.148850894502	0.771527286613	-0.696069603714	-1.0269680196	2.05114529693	-1.31146559116	1.08777085721	-0.889272075834
basophil_1	-0.742279704282	-0.35822111788	-0.771645791209	-0.793143204348	1.16449451728	0.00974670427821	2.33465462359	-0.990869002138	-0.567544906701	-0.959559645425	-0.875704928198	-0.937845175339	-0.699872717895	-0.881057852754	-0.583506179813	-1.28411899899	1.33726323548	-0.938352371787	-0.679860436068	0.764556223273	-0.921857648087	-0.852687215049	-1.56672223513	-0.464095981089	-1.07760287934	-0.924349628538	-0.893599992879	-1.0076824903	-1.36024012462	-0.782419855296	-0.86250612924	-0.977487320371	-1.2279450659	-0.375800134666	-0.802183220589	-1.27443468221	-1.15320523448
cd14_cd16_monocyte_1	-0.371497472272	-0.241898999274	-0.625955092008	-0.448199652811	1.60901100732	1.23326023656	0.0286073124047	-0.733349689364	1.81361243302	0.510477576536	2.19934140758	0.920051064224	-0.185094868449	-0.0623340364319	-0.316802558289	1.13888013687	0.044438113973	-0.739580143377	-0.498394440362	1.02526902362	0.100239810507	0.237019982263	0.420595145342	0.842698639175	0.5400272551	0.566374966414	0.256773949346	-0.0440268864627	0.0271552448621	1.25926915675	0.921884486988	2.40895229732	-0.836037540413	-0.392164341233	0.770421952576	0.249489291402	0.0713871955292
