,CCR4,CCR5,CCR6,CCR7,CD11b,CD11c,CD123,CD127,CD14,CD141,CD16,CD161,CD19,CD1c,CD20,CD209,CD25,CD27,CD3,CD38,CD4,CD40,CD45RA,CD54,CD56,CD57,CD66b,CD8,CD80,CD86,CHIKV,CX3CR1,CXCR3,CXCR5,DNA,HLADR,PD1
cd4_t_cell_em_NA,0.512329853889,0.181028871498,0.144958606597,0.155902387602,0.0754601929477,0.0438086509682,0.042318676527,0.529244303015,0.0649311643378,0.0791692594027,0.0660430913419,0.172118908063,0.0504176849136,0.0471358225076,0.0563798287246,0.0433044721653,0.343387675047,0.078828887186,0.692140126127,0.145352334493,0.773168042586,0.13868716052,0.148098553495,0.180219930433,0.161304629137,0.182133827115,0.0620501712198,0.202877919828,0.169204903185,0.0265556018044,0.0252223402618,0.0592320158795,0.110543597197,0.0208202214214,0.84103322113,0.130164645737,0.215602802468
cd4_t_cell_naive_1,0.103397979743,0.033698859286,0.0450412333022,0.710408939313,0.0252848601963,0.0411812558167,0.0246964906999,0.459025508311,0.0602540640158,0.08546563573,0.0622948064616,0.0821995710524,0.0547441182348,0.0428918162557,0.0410561640281,0.0295246878854,0.153755345657,0.704765032649,0.786512265317,0.460084952419,0.747774333436,0.0627312519111,0.36007040741,0.0429939594886,0.138793874891,0.101448277836,0.0426765006177,0.180379812779,0.0361012771348,0.0206173655506,0.0233489319873,0.0588958346107,0.0412730749513,0.0230462851673,0.823061489348,0.0534352405528,0.04048926949
cd4_t_cell_treg_1,0.269708966313,0.109831641307,0.0813527071321,0.493594070014,0.0381568939172,0.0375139510725,0.0247586421643,0.185594729538,0.0575284800628,0.0731479383646,0.0574238859158,0.102371033111,0.0489808626625,0.0340441496282,0.0444681510376,0.0391138908079,0.459624958191,0.673716894956,0.747021925005,0.37028465352,0.739795861391,0.0889558280268,0.23895685762,0.0723845434477,0.141361322447,0.114850786838,0.0400867381778,0.182644010518,0.0849345101977,0.0320071245105,0.0250418777726,0.0559749086942,0.147737480286,0.0820828350971,0.822198584378,0.115036009543,0.17541305726
cd8_t_cell_cm_1,0.110402815123,0.222852194957,0.0533436866732,0.182182472357,0.128083081807,0.113332826416,0.0422943553999,0.212959176043,0.102338360496,0.0428678999077,0.103064261317,0.130595991883,0.0563428221266,0.0462320526817,0.0654653238715,0.0563410842385,0.158307532011,0.461194388761,0.706731425033,0.373203283953,0.0790408002683,0.0655691628876,0.308552795909,0.202038456843,0.110251647987,0.312780017161,0.122530764059,0.568288731084,0.137320325411,0.0489375125776,0.0292365946357,0.0904143675991,0.314864448357,0.0297616533024,0.830896162909,0.235881876499,0.246453623416
cd8_t_cell_naive_1,0.0623213502284,0.0351532789146,0.0429399770168,0.692560354764,0.0272807019034,0.0525449892482,0.0251126577113,0.482408814221,0.0655261262632,0.0545173520094,0.0602381320151,0.0783715431186,0.051527786621,0.0400687845916,0.0378716361363,0.0336230231925,0.114932027363,0.717587152447,0.723734495181,0.352955114035,0.0594633533329,0.0525387633773,0.463369273653,0.065149975128,0.0667089156966,0.109727510476,0.0462901566932,0.576496560656,0.108975940101,0.0209809228852,0.021801637046,0.0411568075663,0.230452947872,0.0187762661245,0.832518162212,0.0592901144027,0.0297747134024
cd8_t_cell_naive_2,0.556857420001,0.172620050934,0.186564979474,0.483065888511,0.0688221679879,0.0691896279626,0.0304872371672,0.374259192167,0.0828713037322,0.0472168061966,0.0631659428866,0.175397538809,0.0429782823084,0.0348883963719,0.048188826702,0.0744269004196,0.124247929758,0.536918856415,0.690779071075,0.29789698965,0.0601680968158,0.217823105886,0.320321230905,0.0774574336883,0.126592568637,0.124346142811,0.0884941277042,0.375324065806,0.182349371517,0.0353486376139,0.036481806473,0.0614516553545,0.360607861326,0.0375860445815,0.817478193516,0.109702736033,0.0600187135771
ilc_1,0.288526397872,0.0531499797409,0.115705236821,0.0854238712221,0.32186761536,0.40568855509,0.0473701014749,0.35605272559,0.0241174444809,0.0372345083105,0.0247046973138,0.422000143327,0.0300919830593,0.0219536478781,0.0246445848957,0.0985551165116,0.653081002403,0.0410881081294,0.0853429384925,0.156562591006,0.0498966567601,0.0694444968747,0.307004386162,0.346777455333,0.0549976931809,0.0713500500471,0.0298197560144,0.0217124923461,0.0647935431472,0.0180451360496,0.0110396145409,0.0131042174063,0.097386807964,0.0154706213723,0.798356958604,0.110844121213,0.0274160806626
ilc_2,0.492987445813,0.0714763578452,0.245904753148,0.0762448071971,0.220854860084,0.117772740278,0.0305908390778,0.582660062779,0.0449943156216,0.0249966982676,0.0475103153694,0.721815324817,0.0272417409812,0.0290592897009,0.0599641166677,0.247186247091,0.635640048095,0.0500500324885,0.0786098621716,0.134466560378,0.040564199124,0.106155832972,0.275291790278,0.248331741181,0.127584235111,0.0870260914213,0.0367677209998,0.0226322786175,0.110906347316,0.0159739818058,0.0132295586592,0.0203243077425,0.058841797216,0.0169241132681,0.807947020976,0.0556364334733,0.0163112010784
mdc_cd141_1,0.190974888911,0.382747714757,0.172783452691,0.19429514991,0.263863433751,0.611357195877,0.144161550451,0.0298779831304,0.164198022431,0.914677820828,0.0803820812351,0.0760570254669,0.0708519670417,0.123486651073,0.152246304436,0.160900219178,0.176275342582,0.0526316649266,0.226605373444,0.671687647335,0.34174099104,0.389829689943,0.23396649718,0.765718114174,0.117821485268,0.0897214713488,0.0527856129829,0.0906009627545,0.242490169027,0.273346571339,0.13683773503,0.154796046097,0.544096080265,0.124534254999,0.876372978221,0.673121870862,0.178471340045
mdc_cd1c_1,0.11377815911,0.561331069027,0.205878264099,0.1563086962,0.438181057112,0.80774507726,0.374975012067,0.0422892514622,0.147737542922,0.320107338059,0.0834998957895,0.0716241109767,0.0697735161262,0.545616466936,0.066953071902,0.135029884351,0.154365448714,0.0817894909301,0.230666833757,0.571833168053,0.461278719901,0.243032682645,0.271511740528,0.577889135069,0.152425479625,0.108961985107,0.0635428307024,0.101631525514,0.115588340472,0.377955290323,0.145733709595,0.116875454522,0.149461777561,0.0639643337138,0.859431472376,0.765663296635,0.180355869954
