	CD38	CD56	CD57	CCR7	CD4	CD209	CCR4	CCR5	CCR6	CD3	CD8	CD1c	CX3CR1	CD86	CXCR3	CXCR5	DNA	CD20	CD27	CD40	CD25	HLADR	CD141	CD127	CD45RA	CD123	CD161	CD16	CD66b	CD14	CD11c	CD11b	CD19
('cd14_cd16_monocyte_2', 'virus: chik', 'original: cd14_cd16_monocyte', 'predict: cd14_cd16_monocyte', 'correlation: 1.0')	0.104040858356	-0.762291799693	-0.338224290279	-1.01645323311	0.632954109068	0.533130155903	-0.348536272957	0.484549234782	-0.756053637135	-0.90902829575	-0.587348643604	-0.376798419338	0.723543817254	2.79148575215	-0.895771843234	-0.421371422176	0.194475506574	-0.293164268101	-0.880634864266	1.19771339979	-1.16442342081	1.32780170076	1.04079491726	-0.974136129784	-0.768910233967	0.97009816305	-0.991687416195	0.624086023543	-0.548106296866	2.38546040271	1.85139237748	2.21346927801	-0.525667784863
('cd14_monocyte_1', 'virus: chik', 'original: cd14_monocyte', 'predict: cd14_monocyte', 'correlation: 1.0')	0.680644001889	-0.822580037162	-0.525031209872	-0.352604705547	0.336337626329	1.92826735477	-0.408552397821	-0.17551476801	-0.778948715221	-0.732472541346	-0.769422959885	-0.676081405404	2.56436915573	2.35919948986	-1.04973044225	-0.206733135186	0.331335293111	-0.326653155368	-0.876899805638	0.513132435924	-0.787643507242	0.77911792877	0.680383371776	-1.01328889365	-0.811692152037	0.539180813492	-0.941362375963	-0.563060138882	-0.457626484405	2.94202656904	1.5155546554	2.38852898112	-0.572392492802
('cd14_monocyte_2', 'virus: chik', 'original: cd14_monocyte', 'predict: cd14_monocyte', 'correlation: 1.0')	0.250906181504	-0.910518553269	-0.554492153398	-0.981748235151	0.271410968918	-0.104992382285	-0.490981676873	-0.597165773518	-0.799747024792	-0.943163814947	-0.830275966676	-0.725851940276	0.547886786926	1.95314183601	-1.14383534452	-0.505970582163	0.161884201288	-0.46354451583	-0.923248111415	-0.163644360638	-1.26436911615	0.579603897673	0.0515864892321	-1.05320822405	-1.24166869966	-0.0819744267509	-1.09901486031	-0.778112294754	-0.533845381027	2.71219501533	1.46662180608	2.27313800205	-0.648610708633
('cd14_monocyte_3', 'virus: chik', 'original: cd14_monocyte', 'predict: cd14_monocyte', 'correlation: 1.0')	0.147110278947	-0.390507192317	-0.635414234042	-0.378568100968	0.0657427908927	0.831230371054	2.33078364589	-0.0415713124685	0.276694939098	-0.926671166647	-0.865699479695	-0.688603934153	1.04799816978	1.4220319447	0.80585242122	-0.332885579907	-0.245057911352	-0.38809809975	-0.889338698277	0.781567726881	-1.03464715014	0.522014019363	0.142853660311	-0.988881318682	-1.1925174734	-0.0561579774818	-0.92138218509	-0.560935007336	0.397135890692	2.3935016219	1.18690214233	1.83587009763	-0.612232354735
('cd16_monocyte_1', 'virus: chik', 'original: cd16_monocyte', 'predict: cd16_monocyte', 'correlation: 1.0')	-1.43415383235	-0.885985764602	-0.295083598012	-1.33486540285	0.31748688753	-0.879713647009	-0.695120462652	-0.586438513166	-0.821334437064	-1.09074016128	-0.297097646285	-0.176709023052	0.540597503946	2.57307988583	-1.08403105013	-0.512780646711	-0.0741538916982	-0.375750097221	-0.915720935587	0.842479423786	-1.45765024353	1.03381464361	1.05942850684	-0.911555176112	0.176462396964	1.00044960676	-1.08318833917	2.2413677665	-0.608783476542	0.347612865868	1.97484195778	0.779105150704	-0.346096750402
('cd4_cd8_t_cell_1', 'virus: chik', 'original: cd4_cd8_t_cell', 'predict: cd4_cd8_t_cell', 'correlation: 1.0')	-0.0772237342662	-0.419248262104	0.069254333142	2.37448383549	1.67815075352	-0.040578278033	-0.224449315243	0.00644884503993	-0.394001792878	1.54232549453	2.60899112434	-0.356611642836	-0.156354542218	-0.597670163225	0.65572446859	-0.462657578554	1.52975489649	-0.410119161191	1.92307121059	-0.823595327947	0.158204125893	-0.917584652515	-0.071887952472	2.385024172	0.444781520276	-0.672163662559	0.181484372546	-0.464507932848	-0.427200538037	-0.345862170975	-0.78762827309	-1.007449351	-0.380951340666
('cd4_neg_cd8_neg_t_cell_2', 'virus: chik', 'original: cd4_neg_cd8_neg_t_cell', 'predict: cd4_neg_cd8_neg_t_cell', 'correlation: 1.0')	1.23174839435	-0.827148852584	-0.0360269616439	0.820882147484	-0.795097272244	-0.626294601396	-0.754378132211	0.0448235149305	-0.810096003539	1.05600910537	-0.0630526359141	-0.727532874771	-0.192545704722	-0.507952301472	0.266402906549	-0.451272204102	0.0728376994289	-0.591337313626	1.79662054101	-0.897463757185	0.249278731622	-0.29965567293	-0.629180814545	-0.766053339001	0.403795337342	-0.718392618567	-0.316517878799	-0.868640209348	-0.527232876508	-0.537931082264	-1.04525407459	-1.16408731937	-0.514112599375
('cd4_neg_cd8_neg_t_cell_3', 'virus: chik', 'original: cd4_neg_cd8_neg_t_cell', 'predict: cd4_neg_cd8_neg_t_cell', 'correlation: 1.0')	-1.37540296813	-0.901615820781	-0.176170144635	-0.648630282107	-0.964548596859	1.33537618373	-0.712799962589	1.84872588944	-0.147749269521	1.35036713575	-0.486876524816	-0.823254713402	-0.456765158577	-0.81840089836	0.0625360481244	-0.699596142433	-0.737544891513	-0.576572204219	0.636557890688	-1.0711157033	-0.944117933938	-1.10494652118	-0.976832026333	1.25680175398	-1.41887447034	-0.819049170793	2.15925032966	-0.773198499839	-0.754581819107	-0.751416754957	-0.975774477846	-0.971942462868	-0.725838991377
('cd4_neg_cd8_neg_t_cell_4', 'virus: chik', 'original: cd4_neg_cd8_neg_t_cell', 'predict: cd4_neg_cd8_neg_t_cell', 'correlation: 1.0')	-1.31627578678	-1.11489808109	-0.608809798144	0.415970371852	-0.895242620664	-1.18105594731	-0.962935404246	-1.14907005518	-0.903003453971	0.856601119367	-0.532708644651	-0.852220441066	-1.31002450912	-0.825416673159	0.725857099904	-0.596751248507	-0.87458910799	-0.614589024323	1.51148368992	-1.13238298893	-1.17658020823	-1.28035786007	-0.855480197112	0.757385353642	-0.374572774291	-0.833676931974	-0.783419296527	-0.992511797341	-0.884654964528	-0.789275505233	-1.08826487755	-1.31359661491	-0.706690541564
('cd4_neg_cd8_neg_t_cell_NA', 'virus: chik', 'original: cd4_neg_cd8_neg_t_cell', 'predict: cd4_neg_cd8_neg_t_cell', 'correlation: 1.0')	-0.862388633147	0.851815608092	1.16720726979	-0.611235095896	-0.892818255415	0.534285419367	-0.954408128182	1.0324942424	-0.604609858104	1.52973127855	-0.616652485179	-0.530126380757	0.21632513122	-0.769916960873	0.0214131744671	-0.68475124721	-0.520325451194	-0.544434511172	0.413352217831	-0.998663122617	-0.13668620876	-0.830209992958	-0.871043691232	0.576913992758	-0.709888296076	-0.569188847214	1.74507368082	-0.0995324254064	0.493108947777	-0.270932108428	-0.57451898887	-0.438860006799	-0.556502817475
