"","SampleID","Treatment","MetaHybridLouvain","N","Freq","CCR4","CCR5","CCR6","CCR7","CD11b","CD11c","CD123","CD127","CD14","CD141","CD16","CD161","CD19","CD1c","CD20","CD209","CD25","CD27","CD3","CD38","CD4","CD40","CD45RA","CD54","CD56","CD57","CD66b","CD8","CD80","CD86","CHIKV","CX3CR1","CXCR3","CXCR5","DNA","HLADR","PD1"
"1","1758_dna","Acute","undefined_8",57,0.000988553590010406,0.798620730374345,0.137014552003857,0.208512011032402,0.184743754092624,0.212416024618385,0.236611900901603,0.112146009645618,0.0564900129010738,0.138771843068349,0.181151891656686,0.0603212714011099,0.0708200607302358,0.0466393788831142,0.0378426374317571,0.109024018075579,0.0832027575832108,0.0940289589167165,0.0871395851494137,0.266041605232588,0.430107159602303,0.107816825574836,0.674932040288085,0.224154657110726,0.0916680614810761,0.176656797642941,0.0583155453934612,0.108320028323601,0.0211444393950062,0.308010313048961,0.0922121928413508,0.0625559518467707,0.0342294089864665,0.319540793393521,0.0940696236683591,0.84649168092461,0.282637167598392,0.0364581201936798
"2","1758_dna","Conv","undefined_8",2777,0.0129630061850858,0.84928764295677,0.105987884055665,0.136326320696672,0.113607308137834,0.227560224193542,0.208570629339166,0.0419356978070391,0.0221992870981283,0.13717501256482,0.224608188959121,0.0340918012644923,0.0412204353238083,0.0417494911577972,0.0330479525410919,0.113877349037515,0.0344298516333065,0.0633546536351344,0.0447267045358243,0.151991253104878,0.473144506584364,0.0504920290069917,0.743878981479413,0.160364472475067,0.0623309519495657,0.135173871405072,0.0416183596643697,0.0556760517204739,0.0149846370065562,0.405347679844966,0.063220786771685,0.0429207423624409,0.0547682238620636,0.143811419990929,0.0736639067165038,0.834449370145379,0.219709976397616,0.021714899611187
"3","1760_dna","Acute","undefined_8",227,0.00252646106244922,0.784316336825,0.111236336063409,0.179884032773114,0.153250726530099,0.261949039625737,0.258236202703798,0.0787310001377586,0.0463032919306393,0.166951145575345,0.164255948720339,0.119762914175174,0.077081793056619,0.0711578569437836,0.0575037949875195,0.192203776328807,0.0536504106334476,0.106549148164264,0.0574193414883959,0.156275096239204,0.439691452652954,0.0745177807146289,0.667708546022151,0.230405927083626,0.107717984957679,0.139273778409506,0.0446508638398802,0.156544561920469,0.0194441152962165,0.365082103387762,0.0924709380103911,0.0539099224514375,0.0838785500316898,0.232973407277171,0.0726758115499345,0.822737036394251,0.380118308242626,0.0330901521611529
"4","1760_dna","Conv","undefined_8",323,0.0017666395016217,0.665895462269863,0.149007333184498,0.290880288013907,0.299972458277138,0.200400597142414,0.264332621970094,0.0688112335383434,0.0414207960102736,0.0782090268199654,0.0639943170352982,0.123794926238989,0.13682132450666,0.0843249662663867,0.0740185617868154,0.261218615262538,0.0588432481943983,0.09707666142243,0.0674297121122512,0.138216422373735,0.376538866954188,0.0703259420865171,0.419940242585468,0.259531333635127,0.106728299661449,0.135061008989464,0.0817974620826712,0.114304703034697,0.0288502227111536,0.223530694444001,0.0928326110319891,0.0407145946021525,0.0882805565814268,0.43133846165547,0.167416624907159,0.837178120819865,0.367696271958512,0.0346211477657681
"5","1773_dna","Acute","undefined_8",120,0.00237807415627911,0.797913436833671,0.182682787857207,0.20899372990168,0.184116975906112,0.289374250578428,0.311262599386314,0.0853072088005763,0.038979165700657,0.235185333121923,0.177863941249336,0.0484251358027871,0.09371477774577,0.0259100584741341,0.0269843647028606,0.0576980286794664,0.0690283270003838,0.130818143410565,0.0557194137480277,0.231403702190971,0.52523082746947,0.0808677320364199,0.590050088362227,0.198041343353474,0.123743064334916,0.201677541703604,0.130425383520009,0.123872050942829,0.0328201046473133,0.407405294423621,0.111365039997192,0.0787112888007792,0.0762288603463322,0.261923885205809,0.0570572968579558,0.842615763642299,0.290388900309592,0.0344901508520599
"6","1773_dna","Conv","undefined_8",222,0.00101671162486089,0.638553072809116,0.188743108155827,0.183795274976948,0.170585851310479,0.286200062260594,0.355891361553436,0.0626002507898242,0.0498257291152561,0.183295363713287,0.0953176387443485,0.0455689147477258,0.127269543106005,0.027948670381068,0.0268514398123235,0.0377134000107989,0.0777379600224122,0.143252413467278,0.0637430590475595,0.190301757311834,0.390025227400552,0.124990985805782,0.369079821247155,0.163606569229585,0.17119414696835,0.192436569571268,0.119876827618413,0.130787810754894,0.0412823941927121,0.278575482219924,0.115630894774696,0.0388748079709606,0.104454019005641,0.260389577018016,0.032779864228088,0.848832340624552,0.331065194341611,0.0482698806628757
"7","1778_dna","Acute","undefined_8",47,0.0160738714090287,0.568717065608454,0.0868529144187401,0.219645107577544,0.201444948927494,0.178129173974296,0.344027083764582,0.0263129860212193,0.0410211320798462,0.091760449580717,0.0318928438362382,0.0931222039039846,0.149176232107976,0.0722535988121813,0.0459013860807319,0.121786278632326,0.0921471916042899,0.158387252239644,0.0338880845790322,0.125344180409233,0.424861756590792,0.040994353031665,0.241046242974566,0.244808204835189,0.0954319365152099,0.140242969112637,0.13224874350738,0.115066918382218,0.0262437663020074,0.131360747257355,0.0501776326782389,0.0516484449781046,0.100474688273849,0.319394555385008,0.051085000554328,0.861376730137897,0.239299531352559,0.034157105065222
"8","1778_dna","Conv","undefined_8",504,0.00913324755812478,0.671073706109955,0.121800397338455,0.336512123066872,0.293902442298727,0.146646390370909,0.263598100969552,0.0579924670722977,0.0402361197402488,0.0710864977312471,0.0394017471506158,0.142009870532576,0.108067876190269,0.0896288705576766,0.102306921780467,0.280299165199558,0.0818049483318185,0.122724384168016,0.0530750238752148,0.126615039662445,0.285583726321503,0.0387289191004468,0.298456521611528,0.263164187199269,0.0571655451487323,0.191308615369315,0.115513181963644,0.140978703998487,0.0171706183938234,0.180247813076581,0.0585549524181713,0.0342065228050009,0.0778652581129938,0.479031839126042,0.156276913114564,0.853334941242088,0.377943619278346,0.028406963298826
"9","1785_dna","Acute","undefined_8",61,0.000665989759042722,0.721368682113912,0.132096736232264,0.229036082306355,0.311583097109395,0.184954735435007,0.246602820992143,0.0754016018017197,0.0604226841125159,0.0642256255950371,0.0612420990582727,0.0520248564195179,0.129728326400708,0.0842591659246792,0.0363462451368744,0.0852790122650054,0.108888275731282,0.229834647282788,0.108831225756686,0.250752171783346,0.516437170394806,0.138938182464983,0.357405077350667,0.219590993839962,0.133957901527741,0.221805402247887,0.0609141212687047,0.0863408951870779,0.0300008558000658,0.313958228504147,0.12525383268164,0.0361518137465149,0.111098741843889,0.325082371810166,0.0360586255105037,0.854544527507986,0.322315704176745,0.0532440577490859
"10","1785_dna","Conv","undefined_8",274,0.00115454465011819,0.71262267371162,0.14769945446779,0.27787814508585,0.270325590034548,0.175470583931124,0.250561718571683,0.0527267378653409,0.0602654668324092,0.0619733398103324,0.069312062540553,0.0586650937128479,0.131863661592596,0.0953830718335033,0.0617096437046445,0.187160661408857,0.0669749736106708,0.135697909559786,0.0770510703444605,0.219968138509388,0.393595941547,0.105623186234337,0.380184509573414,0.220328351499464,0.0927135394060061,0.214049285010487,0.0791779004112278,0.10965279248127,0.0397249584165617,0.284508250227742,0.0900060851998988,0.0454071708395192,0.0867258098777331,0.391315054599776,0.0912404218156607,0.838928391217998,0.33549221836661,0.0380634027836577
